"week","home_team","away_team","full_name","avgpoints","defense","athome","actualpts","avg","low","high","intop30","std2017","rectar","maxrectar","minrectar","rectds","recyards","defsacks","passing_int","passing_yds_against","passing_tds_against","rushing_yds_allowed","rushing_tds_allowed"
4,"CLE","CIN","A.J. Green",18.07,"CLE",0,17.30,19.2,18.6,24.1,0,10.43,10.33,13,8,0.33,84.00,1.50,1.00,240.00,2.00,85.50,0.50
5,"CIN","BUF","A.J. Green",17.88,"BUF",1,33.90,16.9,15.5,23.4,1,8.52,9.50,13,7,0.50,78.75,3.33,1.33,224.67,0.00,75.33,0.67
7,"PIT","CIN","A.J. Green",21.08,"PIT",0,7.10,17.1,16.2,23.7,0,10.29,10.20,13,7,0.60,100.80,3.40,1.00,164.00,0.60,136.20,1.20
8,"CIN","IND","A.J. Green",18.75,"IND",1,11.70,18.5,17.9,24.6,0,10.83,9.50,13,6,0.50,90.83,2.00,1.17,307.67,1.50,114.00,1.33
9,"JAC","CIN","A.J. Green",17.74,"JAC",0,1.60,15.1,12.9,23.3,0,10.24,9.29,13,6,0.57,81.71,4.71,1.43,190.57,0.57,138.57,0.71
10,"TEN","CIN","A.J. Green",15.73,"TEN",0,25.50,16.3,14.8,24.3,1,11.06,8.38,13,2,0.50,72.25,1.43,1.00,240.00,1.86,100.14,0.43
11,"DEN","CIN","A.J. Green",16.81,"DEN",0,15.00,15.1,13.9,21.3,0,10.85,8.22,13,2,0.56,77.00,2.38,0.63,204.88,2.00,88.38,0.38
12,"CIN","CLE","A.J. Green",16.63,"CLE",1,11.60,17.2,16.9,21.3,0,10.25,8.30,13,2,0.60,74.30,2.22,0.67,242.67,2.11,86.44,0.67
4,"TB","NYG","Adam Humphries",8.30,"NYG",1,13.00,6.6,6.3,9.0,0,6.36,6.50,10,3,0.00,43.00,2.00,0.00,195.00,1.50,133.50,0.00
5,"TB","NE","Adam Humphries",9.87,"NE",1,8.10,8.0,7.8,10.5,0,5.25,6.67,10,3,0.00,52.00,2.00,0.67,341.67,2.67,130.33,0.67
6,"ARI","TB","Adam Humphries",9.43,"ARI",0,11.10,7.9,7.0,10.1,0,4.38,6.25,10,3,0.00,51.75,2.25,0.75,231.25,1.50,88.00,0.75
7,"BUF","TB","Adam Humphries",9.76,"BUF",0,2.30,7.5,6.8,9.8,0,3.87,6.40,10,3,0.00,51.60,2.40,1.60,248.80,0.40,88.00,0.80
8,"TB","CAR","Adam Humphries",8.52,"CAR",1,6.60,7.1,6.4,9.6,0,4.61,5.83,10,3,0.00,45.17,3.33,0.17,216.00,1.67,83.33,0.50
9,"NO","TB","Adam Humphries",8.24,"NO",0,3.40,7.8,6.1,10.4,0,4.27,5.86,10,3,0.00,42.43,2.83,1.33,256.33,1.50,114.17,0.67
10,"TB","NYJ","Adam Humphries",7.64,"NYJ",1,3.70,8.9,8.7,12.6,0,4.31,5.38,10,2,0.00,38.88,1.38,1.13,241.50,2.13,128.25,0.63
11,"MIA","TB","Adam Humphries",7.20,"MIA",0,3.10,6.3,5.9,8.8,0,4.24,5.22,10,2,0.00,36.44,2.00,0.38,233.38,1.50,94.00,0.75
12,"ATL","TB","Adam Humphries",6.79,"ATL",0,7.80,5.7,5.0,8.9,0,4.20,5.10,10,2,0.00,33.90,2.89,0.22,219.11,1.22,113.67,0.56
4,"MIN","DET","Adam Thielen",16.97,"DET",1,9.90,12.2,11.0,17.7,0,9.83,8.00,10,6,0.00,99.67,3.00,2.00,254.00,1.00,53.50,0.50
5,"CHI","MIN","Adam Thielen",15.20,"CHI",0,9.50,12.2,11.7,17.3,0,8.77,8.00,10,6,0.00,89.50,2.33,0.00,253.33,1.00,83.67,1.00
6,"MIN","GB","Adam Thielen",14.06,"GB",1,18.70,12.9,11.8,17.9,0,8.01,8.00,10,6,0.00,78.40,2.50,0.50,210.00,1.00,111.00,0.75
7,"MIN","BAL","Adam Thielen",14.83,"BAL",1,9.10,12.4,11.6,17.1,0,7.41,8.83,13,6,0.00,81.50,2.40,1.80,217.80,1.40,123.40,0.80
8,"CLE","MIN","Adam Thielen",14.01,"CLE",0,20.80,12.6,11.8,17.2,1,7.10,9.29,13,6,0.00,75.71,2.17,0.67,240.67,2.33,84.33,0.67
10,"WAS","MIN","Adam Thielen",14.86,"WAS",0,33.60,13.2,12.3,18.2,1,7.00,9.38,13,6,0.13,78.50,2.86,0.86,237.14,1.43,104.43,0.86
11,"MIN","LA","Adam Thielen",16.94,"LA",1,27.30,14.4,12.6,20.3,1,9.05,9.78,13,6,0.22,88.22,3.13,1.25,223.13,1.25,121.63,1.00
12,"DET","MIN","Adam Thielen",17.98,"DET",0,16.90,14.6,13.5,20.1,0,9.14,9.70,13,6,0.30,91.70,2.11,1.22,262.33,1.22,102.22,1.11
4,"KC","WAS","Albert Wilson",7.90,"WAS",1,10.90,6.7,4.8,10.2,0,2.98,4.00,5,3,0.33,25.67,2.00,1.00,279.50,1.50,75.00,0.50
5,"HOU","KC","Albert Wilson",8.65,"HOU",0,3.80,6.5,5.0,9.8,0,2.86,4.00,5,3,0.25,35.00,2.67,0.00,242.33,2.00,98.67,0.33
7,"OAK","KC","Albert Wilson",7.68,"OAK",0,13.30,7.2,5.5,10.7,0,3.29,3.80,5,3,0.20,31.60,2.00,0.00,237.60,1.20,124.60,0.60
8,"KC","DEN","Albert Wilson",8.62,"DEN",1,0.00,6.3,5.4,9.8,0,3.73,3.50,5,2,0.33,36.83,2.60,0.80,204.00,1.80,70.20,0.00
12,"KC","BUF","Albert Wilson",7.39,"BUF",1,12.60,5.5,4.0,7.6,0,4.71,3.14,5,1,0.29,31.57,1.56,1.22,251.67,0.78,117.22,1.56
