"row_number","week","home_team","away_team","team","position","first_name","last_name","fantasy_pts","salary","dollarsperpoint","avg","low","high"
1,1,"CLE","PIT","PIT","WR","Antonio","Brown",32.20,8800,273.29,21.5,20.6,21.2
2,1,"DET","ARI","DET","QB","Matthew","Stafford",28.08,6100,217.24,16.2,14.7,23.3
3,1,"CHI","ATL","CHI","RB","Tarik","Cohen",25.30,3000,118.58,4.3,3.4,7.6
4,1,"HOU","JAC","JAC","RB","Leonard","Fournette",24.40,5700,233.61,11.9,9.4,15.9
5,1,"DET","ARI","DET","WR","Golden","Tate",24.40,6500,266.39,14.8,12.9,14.2
6,1,"BUF","NYJ","BUF","RB","LeSean","McCoy",23.90,8200,343.10,18.6,16.5,23.3
7,1,"CHI","ATL","ATL","TE","Austin","Hooper",23.80,3000,126.05,8.5,7.5,12.1
8,1,"DET","ARI","DET","WR","Kenny","Golladay",22.90,3600,157.21,7.4,6.8,11.9
9,1,"CLE","PIT","PIT","TE","Jesse","James",22.10,3000,135.75,4.5,3.3,5.7
10,1,"DAL","NYG","DAL","RB","Ezekiel","Elliott",22.00,8100,368.18,17.4,14.7,20.4
11,1,"WAS","PHI","PHI","QB","Carson","Wentz",21.88,5300,242.23,15.2,15.0,19.3
12,1,"CHI","ATL","ATL","QB","Matt","Ryan",20.94,6900,329.51,18.9,18.1,22.8
13,1,"GB","SEA","GB","WR","Jordy","Nelson",20.90,7600,363.64,17.3,16.5,18.3
14,1,"WAS","PHI","PHI","WR","Nelson","Agholor",20.60,3800,184.47,6.6,6.2,8.8
15,1,"GB","SEA","GB","QB","Aaron","Rodgers",20.54,7000,340.80,20.6,19.2,24.8
16,1,"LA","IND","LA","RB","Todd","Gurley",20.50,6000,292.68,17.4,15.7,21.4
17,1,"BUF","NYJ","BUF","QB","Tyrod","Taylor",19.76,6200,313.77,17.1,15.9,18.5
18,1,"CLE","PIT","CLE","QB","DeShone","Kizer",19.58,4800,245.15,12.9,10.3,18.3
19,1,"LA","IND","LA","QB","Jared","Goff",19.44,4800,246.91,13.3,11.7,16.3
20,1,"GB","SEA","GB","RB","Ty","Montgomery",19.30,5800,300.52,12.6,10.0,18.8
21,1,"DAL","NYG","DAL","TE","Jason","Witten",18.90,3900,206.35,9.2,8.3,10.4
22,1,"TEN","OAK","TEN","QB","Marcus","Mariota",18.84,6800,360.93,18.2,16.2,24.3
23,1,"TEN","OAK","OAK","QB","Derek","Carr",18.68,6700,358.67,17.3,16.7,22.8
24,1,"HOU","JAC","HOU","WR","DeAndre","Hopkins",18.50,5900,318.92,17.3,15.8,17.6
25,1,"LA","IND","LA","WR","Cooper","Kupp",17.60,3700,210.23,6.9,6.2,10.1
