GiftRegistryFlag,LoyaltyMember,NPSSegments,nps,ShipDays,TransitDays,DaysToArrive,Backorder,NumOfPackages,DeliverySelection,DeliveryFee,units,retail,APPAREL,BEAUTY,HANDBAGS AND ACCESSORIES,home,JEWELRY,shoes,Carrier,OnTime,LateReason,Accurate,InaccurateReason,GoodCondition,BadConditionReason,EmailClear,PricesClear,PromotionsValid,RewardsGood,ValueItemGood,ReturnEasy,DeliveryFast,AgentAvailable,AgentEffective,ContactedCsAgent,NumCSContacts,LevelOfEffort,PromotersMostImportant,NotRecommendReason,TellFriends,AdditionalFeedback,DidNotFind
No,Yes,Detractor,0,0,3,3,N,1,Standard,0,3,127.37,,Y,,,,Y,Sure Post,Later than expected,Longer than expected for multiple shipments,No,Received item did not match invoice,Yes,NULL,Yes,10,0,4,10,0,0,0,1,Yes by phone,2 or more times,High effort,NULL,Product Delivery,"I was sent the wrong pair of boots. I ordered my daughter size 11 boots, was billed for size 11 boots. I waited almost two weeks for the boots to arrive. When they did they are size 11 wide calf. I called customer service I have no idea if the correct pai","I still don't know what is happening to my order. Wait time on phone should never be over 10 minutes and when you drive 50 miles to you closest store they should be able to help. I went to customer service, waited in line with the boots. Was sent upstairs to wait in line at shoe section. Then they had no idea what to do to help. Drove home with nothing resolved and no shoes! I use to love Company's I doubt I will be doing shopping there now.",NULL
No,Yes,Promoter,10,1,2,3,N,1,Standard,0,7,93.77,Y,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Very easy,none,NULL
No,Yes,Passive,7,0,3,3,N,2,Standard,0,5,133.5,,Y,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,4,99,5,10,7,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,NULL,NULL,NULL
No,Yes,Promoter,9,0,3,3,N,1,Standard,0,2,23.08,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,99,99,9,9,9,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,2,1,3,N,1,Standard,0,1,75.6,,,Y,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,10,Yes by email,1 time,Very low effort,Product Delivery,NULL,Me encanta el servicio que ofrecen,Gracias por su eficiencia,NULL
No,Yes,Promoter,10,0,3,3,N,2,Standard,0,4,80.75,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,99,10,8,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,2,Premium (2 Day),0,5,101.46,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,9,9,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,1,2,3,N,1,Standard,0,1,59.15,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,9,9,10,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,easy to find things,NULL,michael kors  10
No,Yes,Detractor,5,0,3,3,N,2,Standard,0,6,176.28,Y,Y,,,,,Sure Post,Earlier than expected,NULL,No,Received item did not match invoice,Yes,NULL,Yes,10,8,10,10,6,9,9,5,Yes by phone,2 or more times,Very high effort,NULL,Customer Support,"Company's is one of my favorite stores and I purchase a lot of merchandise on-line from Companys.  However, one of my recent orders was totally wrong.  I spent 30 minutes on the phone with the first representative and was still not satisfied.  Additionally, 3 o",My most recent service experience was poor.  It was very difficult to understand the representative and I will still dissatisfied at the conclusion of the call.  I requested to speak to a supervisor and was transferred to a number in which no one answered.,NULL
No,Yes,Promoter,10,1,2,3,N,1,Standard,0,1,55.99,,,,,,Y,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,8,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,The sales clerks in the shoe department are always wonderful. The could use some additional help since the department is so busy.,NULL,NULL
No,Yes,Detractor,5,1,1,2,N,1,Standard,0,2,136.49,Y,,,Y,,,UPS,When expected,NULL,Yes,NULL,No,"Item was wrinkled, used or worn looking",Yes,6,2,4,6,5,6,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,"I ordered a formal dress that came all folded up in a bag. I had to pay to get it steam ironed. It was terrible. I also ordered two suits for my husband. One came in a long box and was fine; the other was folded up in a box. A nice Michael Korhs suit, fol","I ordered a formal dress that came all folded up in a bag. I had to pay to get it steam ironed. It was terrible. I also ordered two suits for my husband. One came in a long box and was fine; the other was folded up in a box. A nice Michael Korhs suit, folded up! Again, we had to pay to get it steamed.   This is ABSOLUTELY ridiculous! I expected more from Company's.  I have definitely discouraged any of the other women in our group not to order from Company's.  They all needed formal wear, and I have strongly advised them not to order from Company's. Also the petite selection is almost nonexistent",I was looking for an 8P silver
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,4,67,,Y,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Promoter,10,1,1,2,N,2,Standard,0,2,27.22,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,I loved how quickly everything shipped. I also appreciated how my items were packaged.,NULL,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,1,94.99,,,,,,Y,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,1,1,9,9,10,10,NULL,NULL,No,NULL,NULL,Customer Support,NULL,NULL,NULL,wide leg pants
